date,open,high,low,close,volume,count,capital,ID,name,market
2004-02-11,16.2,16.2,15.5,15.6,91609029,12310,1441215794,2475,華映,exchange
2004-02-12,15.8,16.1,15.6,15.7,84782890,10933,1342749811,2475,華映,exchange
2004-02-13,15.9,16.3,15.8,16.0,115758117,12883,1859971011,2475,華映,exchange
2004-02-16,16.3,16.4,16.1,16.1,105073097,11317,1708141682,2475,華映,exchange
2004-02-17,16.2,16.8,16.2,16.6,193689355,19882,3194840797,2475,華映,exchange
2004-02-18,16.7,16.8,16.3,16.8,146302731,18498,2424713836,2475,華映,exchange
2004-02-19,17.0,17.6,16.9,17.2,313102414,38021,5409914441,2475,華映,exchange
2004-02-20,17.4,17.6,17.1,17.3,184287727,23382,3196714321,2475,華映,exchange
2004-02-23,17.5,17.6,16.9,17.0,92696874,13012,1593903272,2475,華映,exchange
2004-02-24,17.0,17.3,16.9,17.1,111120303,13813,1904932714,2475,華映,exchange
2004-02-25,17.4,18.2,17.4,18.2,325052007,32605,5850181080,2475,華映,exchange
2004-02-26,18.9,19.1,18.5,18.5,435303752,44053,8192373880,2475,華映,exchange
2004-02-27,18.7,19.6,18.7,19.5,345216532,38016,6657359166,2475,華映,exchange
2004-03-01,20.1,20.8,19.9,20.8,338920608,34043,6952918072,2475,華映,exchange
2004-03-02,21.5,22.1,21.1,21.9,495640287,52067,10689956246,2475,華映,exchange
2004-03-03,21.9,23.4,21.5,22.1,657432155,73085,14724985039,2475,華映,exchange
2004-03-04,22.2,22.9,22.2,22.7,368742090,41195,8295950572,2475,華映,exchange
2004-03-05,22.7,23.0,21.5,21.5,366356063,47489,8145039471,2475,華映,exchange
2004-03-08,21.6,22.0,21.4,21.5,321045025,37013,6970237077,2475,華映,exchange
2004-03-09,21.5,22.8,21.3,22.8,243967580,29069,5347286979,2475,華映,exchange
2004-03-10,22.8,23.4,22.2,22.4,456456736,54279,10453395999,2475,華映,exchange
2004-03-11,22.0,22.7,21.9,22.5,255617873,28883,5707628892,2475,華映,exchange
2004-03-12,21.9,22.4,21.8,22.0,173524561,21742,3843055307,2475,華映,exchange
2004-03-15,22.4,22.5,20.5,20.6,205080966,28947,4424852928,2475,華映,exchange
2004-03-16,20.6,21.1,20.2,20.7,180952444,26709,3755743060,2475,華映,exchange
2004-03-17,21.0,21.3,20.5,20.6,171508400,20584,3590474633,2475,華映,exchange
2004-03-18,20.9,21.8,20.9,21.7,212801250,27734,4546320402,2475,華映,exchange
2004-03-19,21.7,21.7,21.1,21.1,172428370,23297,3682694242,2475,華映,exchange
2004-03-22,19.7,19.7,19.7,19.7,6914132,1835,136301344,2475,華映,exchange
2004-03-23,18.4,19.7,18.4,18.6,338893189,45014,6375018177,2475,華映,exchange
2004-03-24,19.1,19.2,18.2,18.7,203979531,28184,3830848016,2475,華映,exchange
2004-03-25,18.8,19.0,17.8,17.8,137014516,20675,2534883182,2475,華映,exchange
2004-03-26,18.1,18.3,17.5,17.8,143243938,20138,2560682864,2475,華映,exchange
2004-03-29,19.0,19.0,18.7,19.0,51970769,5745,986342031,2475,華映,exchange
2004-03-30,20.0,20.3,19.9,20.3,207067627,19633,4178750637,2475,華映,exchange
2004-03-31,20.8,21.2,20.5,21.2,350076635,40046,7301432367,2475,華映,exchange
2004-04-01,21.1,22.6,20.7,22.2,359643643,49260,7745555902,2475,華映,exchange
2004-04-02,22.5,22.7,22.0,22.1,295139911,39976,6578948354,2475,華映,exchange
2004-04-05,22.5,23.1,22.2,22.9,319213148,41764,7240528528,2475,華映,exchange
2004-04-06,23.1,23.3,21.8,21.9,299332505,45397,6730897487,2475,華映,exchange
2004-04-07,21.8,22.1,21.5,21.7,165015445,24933,3593066576,2475,華映,exchange
2004-04-08,21.8,22.2,21.7,22.0,120178588,17861,2638813690,2475,華映,exchange
2004-04-09,22.1,22.4,21.8,22.2,150382219,22841,3331621327,2475,華映,exchange
2004-04-12,22.6,23.6,22.6,23.5,241519918,38952,5582289673,2475,華映,exchange
2004-04-13,23.8,24.8,23.6,24.3,302381000,43555,7293180700,2475,華映,exchange
2004-04-14,24.0,25.7,23.6,25.7,328146000,43881,8067070200,2475,華映,exchange
2004-04-15,25.7,26.1,24.0,24.1,461588000,58808,11541464900,2475,華映,exchange
2004-04-16,23.9,25.5,23.9,25.0,576927482,67782,14384601743,2475,華映,exchange
2004-04-19,25.3,26.2,24.9,25.4,548954238,62419,14064425774,2475,華映,exchange
2004-04-20,25.6,25.6,24.3,24.3,262278850,36962,6480180646,2475,華映,exchange
2004-04-21,24.0,24.7,23.9,24.5,228977959,27901,5584992468,2475,華映,exchange
2004-04-22,24.6,24.9,22.8,23.3,299321882,41211,7158726190,2475,華映,exchange
2004-04-23,23.4,23.7,22.7,22.8,164721162,25161,3809205439,2475,華映,exchange
2004-04-26,23.0,23.6,22.9,23.0,153510873,21005,3564071466,2475,華映,exchange
2004-04-27,23.2,23.4,22.3,22.5,164664361,21790,3751938286,2475,華映,exchange
2004-04-28,22.5,23.2,22.3,22.3,192870801,26299,4391258103,2475,華映,exchange
2004-04-29,22.5,23.1,22.2,22.5,304032128,39469,6911507257,2475,華映,exchange
2004-04-30,22.5,22.6,21.0,21.4,274966973,39890,5924216848,2475,華映,exchange
2004-05-03,21.3,21.6,20.6,20.6,169249204,21866,3578748460,2475,華映,exchange
2004-05-04,21.0,21.8,20.9,21.6,227849489,29395,4846132671,2475,華映,exchange
2004-05-05,21.6,21.7,20.1,20.1,176366813,27522,3672523122,2475,華映,exchange
2004-05-06,20.9,21.2,20.1,20.6,179924557,27265,3738900177,2475,華映,exchange
2004-05-07,20.6,21.2,20.5,21.2,120778507,18417,2527680240,2475,華映,exchange
2004-05-10,20.8,20.8,20.2,20.2,70119115,12176,1432739500,2475,華映,exchange
2004-05-11,20.2,20.5,18.8,19.5,129045526,21056,2521089751,2475,華映,exchange
2004-05-12,20.3,20.6,20.0,20.0,201529530,39191,4081635782,2475,華映,exchange
2004-05-13,19.9,20.1,19.4,19.4,95200732,17271,1878735350,2475,華映,exchange
2004-05-14,19.5,19.6,18.3,18.3,128724707,21406,2407262693,2475,華映,exchange
2004-05-17,17.4,17.5,17.1,17.1,119279493,17718,2051068325,2475,華映,exchange
2004-05-18,17.0,17.8,16.8,17.2,159904344,22948,2769449817,2475,華映,exchange
2004-05-19,17.9,18.4,17.7,18.4,103047373,12438,1881570903,2475,華映,exchange
2004-05-20,18.4,19.3,18.2,18.6,232100868,31445,4342733834,2475,華映,exchange
2004-05-21,18.7,19.9,18.5,19.9,177977369,21974,3460471904,2475,華映,exchange
2004-05-24,20.1,20.7,19.8,20.2,289612462,32958,5866221518,2475,華映,exchange
2004-05-25,20.0,20.6,19.8,20.0,163502074,21642,3314881465,2475,華映,exchange
2004-05-26,20.8,21.1,20.2,20.2,226218814,25067,4659936848,2475,華映,exchange
2004-05-27,20.4,20.4,19.6,19.7,122232776,17354,2441785272,2475,華映,exchange
2004-05-28,19.9,20.0,19.4,19.7,122582131,17247,2415053346,2475,華映,exchange
2004-05-31,19.6,19.6,18.5,18.5,113964484,18325,2161289361,2475,華映,exchange
2004-06-01,18.5,19.2,18.1,18.9,150837598,21697,2815920782,2475,華映,exchange
2004-06-02,18.5,18.9,18.3,18.3,80287639,11561,1490908791,2475,華映,exchange
2004-06-03,18.5,18.8,17.4,17.4,128587609,19385,2354276069,2475,華映,exchange
