,ID
0,1101
1,1102
2,1103
3,1104
4,1108
5,1109
6,1110
7,1201
8,1203
9,1210
10,1213
11,1215
12,1216
13,1217
14,1218
15,1219
16,1220
17,1225
18,1227
19,1229
20,1231
21,1232
22,1233
23,1234
24,1236
25,1256
26,1301
27,1303
28,1304
29,1305
30,1307
31,1308
32,1309
33,1310
34,1312
35,1313
36,1314
37,1315
38,1316
39,1319
40,1321
41,1323
42,1324
43,1325
44,1326
45,1337
46,1338
47,1339
48,1340
49,1341
50,1342
51,1402
52,1409
53,1410
54,1413
55,1414
56,1416
57,1417
58,1418
59,1419
60,1423
61,1432
62,1434
63,1435
64,1436
65,1437
66,1438
67,1439
68,1440
69,1441
70,1442
71,1443
72,1444
73,1445
74,1446
75,1447
76,1449
77,1451
78,1452
79,1453
80,1454
81,1455
82,1456
83,1457
84,1459
85,1460
86,1463
87,1464
88,1465
89,1466
90,1467
91,1468
92,1470
93,1471
94,1472
95,1473
96,1474
97,1475
98,1476
99,1477
100,1503
101,1504
102,1506
103,1507
104,1512
105,1513
106,1514
107,1515
108,1516
109,1517
110,1519
111,1521
112,1522
113,1524
114,1525
115,1526
116,1527
117,1528
118,1529
119,1530
120,1531
121,1532
122,1533
123,1535
124,1536
125,1537
126,1538
127,1539
128,1540
129,1541
130,1558
131,1560
132,1568
133,1582
134,1583
135,1587
136,1589
137,1590
138,1597
139,1598
140,1603
141,1604
142,1605
143,1608
144,1609
145,1611
146,1612
147,1614
148,1615
149,1616
150,1617
151,1618
152,1626
153,1701
154,1702
155,1707
156,1708
157,1709
158,1710
159,1711
160,1712
161,1713
162,1714
163,1717
164,1718
165,1720
166,1721
167,1722
168,1723
169,1724
170,1725
171,1726
172,1727
173,1730
174,1731
175,1732
176,1733
177,1734
178,1736
179,1737
180,1760
181,1762
182,1773
183,1776
184,1783
185,1786
186,1789
187,1795
188,1802
189,1805
190,1806
191,1808
192,1810
193,1817
194,1903
195,1904
196,1905
197,1906
198,1907
199,1909
200,2002
201,2006
202,2007
203,2008
204,2009
205,2010
206,2012
207,2013
208,2014
209,2015
210,2017
211,2020
212,2022
213,2023
214,2024
215,2025
216,2027
217,2028
218,2029
219,2030
