date,open,high,low,close,volume,count,capital,ID,name,market
2004-02-17,12.6,12.8,12.1,12.8,1426000,1358,18054000,9950,萬國通,otc
2004-02-18,13.65,13.65,13.2,13.65,1258000,968,17055000,9950,萬國通,otc
2004-02-19,13.9,14.6,13.9,14.6,363000,233,5240000,9950,萬國通,otc
2004-02-20,15.5,15.6,15.0,15.6,714000,191,11095000,9950,萬國通,otc
2004-02-23,16.3,16.6,16.3,16.6,366000,84,6026000,9950,萬國通,otc
2004-02-24,17.7,17.7,16.0,16.0,929000,398,15883000,9950,萬國通,otc
2004-02-25,15.5,16.0,14.9,14.9,491000,229,7400000,9950,萬國通,otc
2004-02-26,14.05,14.6,13.9,14.2,564000,252,7942000,9950,萬國通,otc
2004-02-27,14.0,14.55,13.9,14.1,227000,131,3231000,9950,萬國通,otc
2004-03-01,14.0,14.0,13.5,13.5,291000,119,4002000,9950,萬國通,otc
2004-03-02,13.5,13.5,12.75,12.95,394000,192,5106000,9950,萬國通,otc
2004-03-03,12.65,13.8,12.65,13.5,255000,122,3409000,9950,萬國通,otc
2004-03-04,13.8,13.8,13.2,13.3,139000,82,1871000,9950,萬國通,otc
2004-03-05,13.3,13.6,13.3,13.5,129000,60,1740000,9950,萬國通,otc
2004-03-08,13.6,13.6,13.4,13.5,58000,31,787000,9950,萬國通,otc
2004-03-09,14.3,14.3,13.7,13.9,159000,66,2233000,9950,萬國通,otc
2004-03-10,13.9,13.9,13.3,13.4,70000,34,948000,9950,萬國通,otc
2004-03-11,13.4,13.5,13.0,13.0,53000,36,700000,9950,萬國通,otc
2004-03-12,12.9,13.1,12.9,13.0,52000,30,676000,9950,萬國通,otc
2004-03-15,13.0,13.0,12.9,12.9,94000,36,1220000,9950,萬國通,otc
2004-03-16,12.9,12.9,12.7,12.7,29000,18,372000,9950,萬國通,otc
2004-03-17,12.6,12.9,12.6,12.9,34000,26,434000,9950,萬國通,otc
2004-03-18,12.95,13.4,12.8,13.4,99000,45,1303000,9950,萬國通,otc
2004-03-19,13.5,13.5,13.3,13.3,51000,25,682000,9950,萬國通,otc
2004-03-22,12.4,12.4,12.4,12.4,18000,10,223000,9950,萬國通,otc
2004-03-23,11.55,12.2,11.55,12.0,119000,45,1398000,9950,萬國通,otc
2004-03-24,12.0,12.45,12.0,12.45,37000,18,448000,9950,萬國通,otc
2004-03-25,12.45,12.45,11.6,12.35,57000,21,675000,9950,萬國通,otc
2004-03-26,12.35,12.35,12.0,12.0,25000,10,305000,9950,萬國通,otc
