date,open,high,low,close,volume,count,capital,ID,name,market
2001-07-26,32.6,36.0,32.6,36.0,781000,278,26158000,6109,亞元,otc
2001-07-27,34.8,35.0,33.5,34.5,602000,198,20577000,6109,亞元,otc
2001-07-31,35.0,35.0,33.2,34.6,215000,87,7340000,6109,亞元,otc
2001-08-01,34.6,35.8,34.6,35.4,203000,113,7131000,6109,亞元,otc
2001-08-02,35.2,35.9,34.2,35.6,255000,105,8968000,6109,亞元,otc
2001-08-03,35.6,35.6,34.7,35.0,106000,43,3743000,6109,亞元,otc
2001-08-06,35.0,35.0,33.0,33.0,70000,33,2356000,6109,亞元,otc
2001-08-07,33.0,33.5,30.9,31.0,98000,51,3102000,6109,亞元,otc
2001-08-08,29.2,30.9,29.2,30.0,128000,51,3881000,6109,亞元,otc
2001-08-09,29.5,29.5,28.8,29.4,67000,32,1957000,6109,亞元,otc
2001-08-10,28.6,29.5,28.5,29.2,147000,46,4267000,6109,亞元,otc
2001-08-13,29.5,29.8,28.5,29.2,142000,53,4160000,6109,亞元,otc
2001-08-14,29.2,29.6,28.8,29.4,112000,45,3262000,6109,亞元,otc
2001-08-15,29.4,31.4,29.2,31.0,286000,140,8814000,6109,亞元,otc
2001-08-16,31.4,32.4,31.2,32.4,302000,143,9625000,6109,亞元,otc
2001-08-17,32.8,32.9,31.6,32.2,183000,95,5895000,6109,亞元,otc
2001-08-20,31.6,31.9,31.0,31.0,93000,38,2920000,6109,亞元,otc
2001-08-21,30.2,31.2,30.2,31.2,110000,42,3398000,6109,亞元,otc
2001-08-22,30.7,31.0,30.5,30.5,64000,21,1973000,6109,亞元,otc
2001-08-23,30.5,30.7,29.8,30.6,65000,42,1975000,6109,亞元,otc
2001-08-24,30.5,30.5,29.7,29.9,26000,25,782000,6109,亞元,otc
2001-08-27,30.9,30.9,29.8,30.3,73000,49,2211000,6109,亞元,otc
2001-08-28,29.8,30.2,29.3,30.0,89000,48,2651000,6109,亞元,otc
2001-08-29,29.7,30.0,29.0,29.7,80000,52,2357000,6109,亞元,otc
2001-08-30,29.6,29.6,28.9,29.4,74000,40,2159000,6109,亞元,otc
2001-08-31,29.1,29.5,28.8,29.4,97000,42,2820000,6109,亞元,otc
2001-09-03,29.9,30.4,29.1,30.0,218000,92,6503000,6109,亞元,otc
2001-09-04,24.4,24.6,23.2,24.0,49000,36,1167000,6109,亞元,otc
2001-09-05,23.7,23.7,22.5,23.1,36000,21,829000,6109,亞元,otc
2001-09-06,22.5,23.0,21.5,21.9,26000,23,574000,6109,亞元,otc
2001-09-07,21.4,21.4,20.4,20.4,21000,12,431000,6109,亞元,otc
2001-09-10,19.0,19.2,19.0,19.1,50000,27,952000,6109,亞元,otc
2001-09-11,17.9,18.9,17.8,17.9,44000,27,789000,6109,亞元,otc
2001-09-13,16.7,16.7,16.7,16.7,1000,5,17000,6109,亞元,otc
2001-09-14,15.6,16.7,15.6,15.6,20000,25,319000,6109,亞元,otc
