date,open,high,low,close,volume,count,capital,ID,name,market
1999-05-07,33.1,33.1,33.1,33.1,39000,,,9934,成霖,exchange
1999-05-10,35.4,35.4,35.4,35.4,25000,,,9934,成霖,exchange
1999-05-11,37.8,37.8,37.8,37.8,8000,,,9934,成霖,exchange
1999-05-12,40.4,40.4,40.4,40.4,86000,,,9934,成霖,exchange
1999-05-13,43.2,43.2,43.2,43.2,398000,,,9934,成霖,exchange
1999-05-14,46.2,46.2,46.2,46.2,407000,,,9934,成霖,exchange
1999-05-15,49.4,49.4,49.4,49.4,155000,,,9934,成霖,exchange
1999-05-17,52.5,52.5,52.5,52.5,50000,,,9934,成霖,exchange
1999-05-18,56.0,56.0,56.0,56.0,16000,,,9934,成霖,exchange
1999-05-19,59.5,59.5,54.0,56.0,1426000,,,9934,成霖,exchange
1999-05-20,56.5,59.5,56.5,58.5,673000,,,9934,成霖,exchange
1999-05-21,60.0,62.5,60.0,62.5,464000,,,9934,成霖,exchange
1999-05-24,66.5,66.5,65.0,66.5,534000,,,9934,成霖,exchange
1999-05-25,69.5,71.0,68.0,70.0,940000,,,9934,成霖,exchange
1999-05-26,70.0,74.5,70.0,70.0,1298000,,,9934,成霖,exchange
1999-05-27,71.5,74.0,68.0,72.0,833000,,,9934,成霖,exchange
1999-05-28,73.0,77.0,71.0,77.0,1719000,,,9934,成霖,exchange
1999-05-29,77.5,80.0,75.0,75.5,1073000,,,9934,成霖,exchange
1999-05-31,77.0,80.0,75.5,76.5,1117000,,,9934,成霖,exchange
1999-06-01,77.0,77.0,71.5,76.5,990000,,,9934,成霖,exchange
1999-06-02,64.0,64.5,61.0,63.5,676000,,,9934,成霖,exchange
1999-06-03,63.5,63.5,59.5,61.0,359000,,,9934,成霖,exchange
1999-06-04,60.0,60.0,57.5,58.5,211000,,,9934,成霖,exchange
1999-06-05,57.5,58.5,56.0,58.0,204000,,,9934,成霖,exchange
1999-06-07,58.0,58.0,54.0,55.5,316000,,,9934,成霖,exchange
1999-06-08,54.5,54.5,52.0,52.0,252000,,,9934,成霖,exchange
1999-06-09,50.0,50.0,48.5,48.5,557000,,,9934,成霖,exchange
1999-06-10,49.4,51.5,49.4,51.5,123000,,,9934,成霖,exchange
1999-06-11,53.5,55.0,49.0,49.0,627000,,,9934,成霖,exchange
1999-06-14,49.0,49.0,47.2,48.0,188000,,,9934,成霖,exchange
1999-06-15,48.6,48.8,45.0,45.5,210000,,,9934,成霖,exchange
1999-06-16,45.0,45.0,42.6,44.3,184000,,,9934,成霖,exchange
1999-06-17,43.0,43.0,41.2,43.0,507000,,,9934,成霖,exchange
1999-06-21,43.5,45.6,43.5,44.3,417000,,,9934,成霖,exchange
1999-06-22,42.6,44.3,41.5,42.6,242000,,,9934,成霖,exchange
1999-06-23,43.0,44.0,41.6,42.2,206000,,,9934,成霖,exchange
1999-06-24,42.2,44.4,41.8,44.0,360000,,,9934,成霖,exchange
1999-06-25,45.5,47.0,45.0,47.0,1152000,,,9934,成霖,exchange
1999-06-28,47.3,50.0,47.3,50.0,909000,,,9934,成霖,exchange
1999-06-29,52.0,52.0,48.0,49.0,439000,,,9934,成霖,exchange
1999-06-30,48.9,48.9,46.5,46.5,409000,,,9934,成霖,exchange
1999-07-02,47.0,49.7,47.0,47.8,221000,,,9934,成霖,exchange
1999-07-03,49.0,49.0,45.0,46.2,180000,,,9934,成霖,exchange
1999-07-05,46.5,49.0,45.6,47.0,414000,,,9934,成霖,exchange
1999-07-06,48.8,48.8,47.2,47.8,277000,,,9934,成霖,exchange
1999-07-07,48.0,48.1,47.1,47.3,149000,,,9934,成霖,exchange
1999-07-08,47.5,47.5,47.1,47.3,208000,,,9934,成霖,exchange
1999-07-09,47.2,47.2,45.6,46.5,113000,,,9934,成霖,exchange
1999-07-12,47.0,48.1,45.3,47.0,218000,,,9934,成霖,exchange
1999-07-13,47.5,47.6,46.0,46.0,133000,,,9934,成霖,exchange
1999-07-14,47.4,49.2,47.4,49.2,1418000,,,9934,成霖,exchange
1999-07-15,49.2,49.5,45.8,45.9,639000,,,9934,成霖,exchange
1999-07-16,45.5,45.5,42.7,42.7,333000,,,9934,成霖,exchange
1999-07-17,39.8,43.0,39.8,39.9,494000,,,9934,成霖,exchange
1999-07-19,40.0,40.9,38.2,40.7,155000,,,9934,成霖,exchange
1999-07-20,41.8,43.5,41.7,43.5,262000,,,9934,成霖,exchange
1999-07-21,42.0,42.8,40.5,42.5,133000,,,9934,成霖,exchange
1999-07-22,41.9,44.5,41.0,43.9,317000,,,9934,成霖,exchange
