date,open,high,low,close,volume,count,capital,ID,name,market
1996-12-18,29.9,29.9,29.9,29.9,2000,,,2358,廷鑫,exchange
1996-12-19,31.9,31.9,31.9,31.9,1000,,,2358,廷鑫,exchange
1996-12-20,34.1,34.1,31.9,32.7,15055000,,,2358,廷鑫,exchange
1996-12-21,32.4,33.0,32.0,32.4,5859000,,,2358,廷鑫,exchange
1996-12-23,32.5,32.6,31.7,31.7,5086000,,,2358,廷鑫,exchange
1996-12-24,31.7,31.7,30.3,30.8,6755000,,,2358,廷鑫,exchange
1996-12-26,30.5,31.1,30.5,30.8,3113000,,,2358,廷鑫,exchange
1996-12-27,30.8,30.8,30.5,30.8,1955000,,,2358,廷鑫,exchange
1996-12-28,30.8,31.3,30.8,31.0,2627000,,,2358,廷鑫,exchange
1996-12-30,31.0,31.3,30.5,30.8,3124000,,,2358,廷鑫,exchange
1996-12-31,30.9,31.0,30.5,30.6,2080000,,,2358,廷鑫,exchange
1997-01-04,30.0,30.1,28.9,29.7,1403000,,,2358,廷鑫,exchange
1997-01-06,29.7,30.4,29.7,30.3,2243000,,,2358,廷鑫,exchange
1997-01-07,30.1,32.2,30.1,31.3,7060000,,,2358,廷鑫,exchange
1997-01-08,31.3,31.5,30.8,30.8,3896000,,,2358,廷鑫,exchange
1997-01-09,30.9,31.7,30.8,31.3,5223000,,,2358,廷鑫,exchange
1997-01-10,31.5,33.4,31.5,33.4,12046000,,,2358,廷鑫,exchange
1997-01-11,34.5,34.8,33.4,33.9,15976000,,,2358,廷鑫,exchange
1997-01-13,34.2,34.4,33.5,34.0,9000000,,,2358,廷鑫,exchange
1997-01-14,34.0,34.2,33.0,33.2,5215000,,,2358,廷鑫,exchange
1997-01-15,33.2,33.6,33.2,33.2,3110000,,,2358,廷鑫,exchange
1997-01-16,33.3,33.7,33.3,33.4,2945000,,,2358,廷鑫,exchange
1997-01-17,33.5,34.6,33.4,34.0,8616000,,,2358,廷鑫,exchange
1997-01-18,34.3,34.5,33.8,34.5,5469000,,,2358,廷鑫,exchange
1997-01-20,34.8,35.5,34.6,35.1,8194000,,,2358,廷鑫,exchange
1997-01-21,35.4,36.0,35.0,35.2,11446000,,,2358,廷鑫,exchange
1997-01-22,35.5,35.7,34.5,35.3,7412000,,,2358,廷鑫,exchange
1997-01-23,35.3,35.5,33.5,34.3,5175000,,,2358,廷鑫,exchange
1997-01-24,34.0,34.8,33.5,34.0,3091000,,,2358,廷鑫,exchange
1997-01-25,34.2,34.2,33.5,34.0,1927000,,,2358,廷鑫,exchange
1997-01-27,34.0,34.2,33.6,33.7,1397000,,,2358,廷鑫,exchange
1997-01-28,33.9,34.0,33.1,33.1,2898000,,,2358,廷鑫,exchange
1997-01-29,33.1,33.5,32.8,33.0,2163000,,,2358,廷鑫,exchange
1997-01-30,33.5,34.2,33.3,33.6,3252000,,,2358,廷鑫,exchange
1997-01-31,33.9,34.4,33.6,33.8,4229000,,,2358,廷鑫,exchange
1997-02-01,34.2,34.5,34.1,34.4,3683000,,,2358,廷鑫,exchange
1997-02-03,34.4,34.7,33.9,33.9,2379000,,,2358,廷鑫,exchange
1997-02-11,34.0,35.3,33.9,35.3,5557000,,,2358,廷鑫,exchange
1997-02-12,35.3,37.0,34.5,36.9,12958000,,,2358,廷鑫,exchange
1997-02-13,37.1,39.4,37.1,39.4,14504000,,,2358,廷鑫,exchange
1997-02-14,39.7,39.7,37.9,38.1,13762000,,,2358,廷鑫,exchange
1997-02-15,38.5,40.7,38.2,40.3,11784000,,,2358,廷鑫,exchange
1997-02-17,40.3,42.0,39.5,41.6,11282000,,,2358,廷鑫,exchange
1997-02-18,40.0,44.2,40.0,44.2,11051000,,,2358,廷鑫,exchange
1997-02-19,44.9,46.4,43.0,45.0,17098000,,,2358,廷鑫,exchange
1997-02-20,42.9,46.5,42.9,45.1,11123000,,,2358,廷鑫,exchange
1997-02-21,45.3,46.0,44.1,44.7,12139000,,,2358,廷鑫,exchange
1997-02-22,44.5,44.7,41.6,41.9,8917000,,,2358,廷鑫,exchange
1997-02-24,41.9,43.0,41.9,42.3,7117000,,,2358,廷鑫,exchange
1997-02-25,42.5,42.8,41.8,42.0,5154000,,,2358,廷鑫,exchange
1997-02-26,42.0,42.3,39.1,39.1,8221000,,,2358,廷鑫,exchange
1997-02-27,39.0,40.2,38.2,40.2,3119000,,,2358,廷鑫,exchange
1997-02-28,40.0,40.0,39.0,39.1,4854000,,,2358,廷鑫,exchange
1997-03-01,39.4,39.8,39.0,39.3,2050000,,,2358,廷鑫,exchange
1997-03-03,39.0,39.3,38.5,39.2,1358000,,,2358,廷鑫,exchange
1997-03-04,39.5,40.9,39.5,40.8,3560000,,,2358,廷鑫,exchange
1997-03-05,40.8,41.0,40.1,40.5,4027000,,,2358,廷鑫,exchange
1997-03-06,40.6,42.0,40.6,41.5,7917000,,,2358,廷鑫,exchange
1997-03-07,41.7,42.0,41.0,42.0,4931000,,,2358,廷鑫,exchange
1997-03-08,42.1,42.5,41.0,41.6,4990000,,,2358,廷鑫,exchange
1997-03-10,41.1,41.8,40.6,40.8,2656000,,,2358,廷鑫,exchange
1997-03-11,41.0,41.5,41.0,41.2,5123000,,,2358,廷鑫,exchange
1997-03-12,41.5,42.9,41.0,42.9,11503000,,,2358,廷鑫,exchange
1997-03-13,43.0,43.2,41.2,41.5,9132000,,,2358,廷鑫,exchange
1997-03-14,41.5,41.6,40.6,41.1,4352000,,,2358,廷鑫,exchange
1997-03-15,41.4,42.2,41.4,41.5,9199000,,,2358,廷鑫,exchange
1997-03-17,41.7,44.4,41.7,43.5,19896000,,,2358,廷鑫,exchange
1997-03-18,43.9,45.1,43.5,44.6,18358000,,,2358,廷鑫,exchange
1997-03-19,45.0,45.0,42.1,43.0,8832000,,,2358,廷鑫,exchange
1997-03-20,43.1,43.5,42.8,43.2,4991000,,,2358,廷鑫,exchange
1997-03-21,43.0,43.0,40.8,40.8,5527000,,,2358,廷鑫,exchange
1997-03-22,40.1,41.3,39.7,40.6,2242000,,,2358,廷鑫,exchange
1997-03-24,40.6,41.6,39.2,39.2,2918000,,,2358,廷鑫,exchange
1997-03-25,39.6,40.2,39.0,39.5,2909000,,,2358,廷鑫,exchange
1997-03-26,40.2,41.6,40.0,41.5,4476000,,,2358,廷鑫,exchange
1997-03-27,41.9,42.0,41.0,41.3,3579000,,,2358,廷鑫,exchange
1997-03-28,41.3,42.5,41.0,42.1,7260000,,,2358,廷鑫,exchange
1997-03-31,41.9,42.2,40.9,41.3,4024000,,,2358,廷鑫,exchange
1997-04-01,41.3,42.0,41.0,42.0,4554000,,,2358,廷鑫,exchange
1997-04-02,42.3,43.0,41.5,41.5,8620000,,,2358,廷鑫,exchange
1997-04-03,41.8,42.1,41.3,41.9,5289000,,,2358,廷鑫,exchange
1997-04-07,42.4,44.8,42.0,44.8,15524000,,,2358,廷鑫,exchange
1997-04-08,46.8,46.8,43.7,45.1,20493000,,,2358,廷鑫,exchange
1997-04-09,45.1,45.3,43.7,44.5,8112000,,,2358,廷鑫,exchange
1997-04-10,44.0,44.5,43.2,43.7,7220000,,,2358,廷鑫,exchange
1997-04-11,43.7,44.5,43.0,44.1,7282000,,,2358,廷鑫,exchange
1997-04-12,44.1,44.1,43.1,43.2,4345000,,,2358,廷鑫,exchange
1997-04-14,43.2,43.5,42.3,43.1,4576000,,,2358,廷鑫,exchange
1997-04-15,42.8,43.7,42.8,42.8,6107000,,,2358,廷鑫,exchange
1997-04-16,43.1,45.7,42.8,45.0,12464000,,,2358,廷鑫,exchange
1997-04-17,44.6,44.6,43.5,43.5,6114000,,,2358,廷鑫,exchange
1997-04-18,43.1,43.7,41.7,41.7,3518000,,,2358,廷鑫,exchange
1997-04-19,41.7,42.2,41.0,41.5,2292000,,,2358,廷鑫,exchange
