date,open,high,low,close
1999-01-05,6310.41,6310.41,6111.64,6152.43
1999-01-06,6082.02,6280.93,5988.06,6199.91
1999-01-07,6280.38,6409.55,6181.62,6404.31
1999-01-08,6371.34,6492.87,6371.34,6421.75
1999-01-11,6472.02,6492.9,6392.49,6406.99
1999-01-12,6429.54,6441.79,6357.11,6363.89
1999-01-13,6293.59,6365.6,6292.55,6319.34
1999-01-14,6295.99,6295.99,6187.32,6241.32
1999-01-15,6190.95,6454.6,6176.09,6454.6
1999-01-16,6529.77,6577.92,6483.3,6483.3
1999-01-18,6436.17,6477.44,6377.25,6377.25
1999-01-19,6358.88,6421.78,6323.89,6343.36
1999-01-20,6355.15,6360.75,6292.0,6310.71
1999-01-21,6332.68,6424.54,6330.65,6332.2
1999-01-22,6303.86,6328.31,6221.24,6228.95
1999-01-25,6142.73,6161.8,6018.98,6033.21
1999-01-26,6083.57,6115.64,5987.42,6115.64
1999-01-27,6161.78,6204.46,6129.4,6138.87
1999-01-28,6110.82,6145.77,6059.54,6063.41
1999-01-29,6090.44,6090.44,5975.48,5984.0
1999-01-30,5949.45,6076.41,5949.45,5998.32
1999-02-01,5948.35,5948.35,5862.79,5862.79
1999-02-02,5892.93,5892.93,5726.25,5749.64
1999-02-03,5658.01,5772.89,5596.58,5743.86
1999-02-04,5711.8,5747.47,5511.85,5514.89
1999-02-05,5506.55,5625.65,5422.66,5474.79
1999-02-06,5572.69,5710.18,5515.67,5710.18
1999-02-08,5784.14,5869.15,5757.61,5822.98
1999-02-09,5798.92,5798.92,5723.73,5723.73
1999-02-10,5669.23,5811.33,5669.23,5798.0
1999-02-20,6040.57,6086.76,5977.01,6072.33
1999-02-22,6216.01,6343.84,6168.94,6313.63
1999-02-23,6383.04,6383.04,6180.94,6180.94
1999-02-24,6167.84,6267.12,6158.35,6238.87
1999-02-25,6291.89,6362.31,6240.82,6275.53
1999-02-26,6256.8,6318.52,6225.94,6318.52
1999-03-01,6324.4,6345.93,6276.4,6312.25
1999-03-02,6343.3,6343.3,6228.53,6263.54
1999-03-03,6262.69,6420.91,6262.69,6403.14
1999-03-04,6460.58,6467.51,6385.7,6393.74
1999-03-05,6426.21,6457.94,6339.99,6383.09
1999-03-06,6478.34,6498.05,6416.82,6421.73
1999-03-08,6436.97,6436.97,6388.51,6431.96
1999-03-09,6447.41,6530.74,6447.41,6493.43
1999-03-10,6482.93,6513.91,6460.65,6486.61
1999-03-11,6532.78,6537.35,6436.8,6436.8
1999-03-12,6444.75,6469.97,6412.47,6462.73
1999-03-15,6478.57,6598.32,6447.95,6598.32
1999-03-16,6698.45,6718.99,6616.64,6672.23
1999-03-17,6739.82,6805.03,6707.6,6757.07
1999-03-18,6834.74,6895.01,6791.91,6895.01
1999-03-19,6989.27,7021.96,6915.12,6997.29
1999-03-20,7006.66,7050.28,6957.83,6993.38
1999-03-22,7023.14,7057.97,6982.54,7043.23
1999-03-23,7133.03,7133.03,6945.48,6945.48
1999-03-24,6877.49,6931.9,6845.8,6889.42
1999-03-25,6961.23,6969.37,6878.41,6941.38
1999-03-26,7015.11,7052.44,6973.81,7033.25
1999-03-29,7047.24,7047.24,6901.68,6901.68
1999-03-30,6964.41,6964.41,6831.94,6898.66
1999-03-31,6882.81,6936.72,6839.95,6881.72
1999-04-01,6876.64,7018.68,6876.64,7018.68
1999-04-02,7098.11,7232.51,7098.11,7232.51
1999-04-03,7276.29,7276.29,7177.7,7182.2
1999-04-06,7229.94,7229.94,7163.99,7163.99
1999-04-07,7190.57,7190.57,7110.59,7135.89
1999-04-08,7204.69,7312.9,7195.42,7273.41
1999-04-09,7362.05,7381.64,7265.7,7265.7
1999-04-12,7262.36,7303.9,7189.45,7242.4
1999-04-13,7291.15,7341.74,7280.15,7337.85
1999-04-14,7390.61,7445.37,7383.88,7398.65
1999-04-15,7415.67,7498.17,7344.7,7498.17
1999-04-16,7590.92,7590.92,7414.62,7466.82
1999-04-17,7480.43,7584.93,7479.12,7581.5
1999-04-19,7633.73,7683.94,7614.61,7623.18
1999-04-20,7580.39,7671.48,7539.1,7627.74
1999-04-21,7703.76,7703.76,7456.18,7474.16
1999-04-22,7540.52,7548.45,7447.52,7494.6
1999-04-23,7602.56,7659.59,7567.75,7612.8
1999-04-26,7641.08,7659.84,7566.05,7629.09
1999-04-27,7664.42,7664.42,7527.1,7550.13
1999-04-28,7563.25,7577.72,7482.5,7496.61
1999-04-29,7396.32,7428.52,7281.3,7289.62
1999-04-30,7316.05,7371.17,7224.22,7371.17
1999-05-03,7393.58,7403.68,7312.47,7383.26
1999-05-04,7433.52,7588.04,7433.52,7588.04
1999-05-05,7594.28,7644.45,7554.19,7572.16
1999-05-06,7619.44,7664.89,7545.33,7560.05
1999-05-07,7538.73,7582.34,7456.99,7469.33
1999-05-10,7441.28,7484.37,7399.92,7484.37
1999-05-11,7530.27,7584.57,7474.25,7474.45
1999-05-12,7516.13,7532.07,7423.38,7448.41
1999-05-13,7458.02,7499.63,7411.14,7416.2
1999-05-14,7470.19,7592.98,7470.19,7592.53
1999-05-15,7564.72,7622.74,7538.5,7576.64
1999-05-17,7627.3,7705.63,7587.76,7599.76
1999-05-18,7621.19,7658.67,7484.06,7585.51
1999-05-19,7583.4,7634.73,7542.78,7614.6
1999-05-20,7665.66,7701.26,7608.88,7608.88
1999-05-21,7639.61,7696.97,7594.76,7606.69
1999-05-24,7629.71,7644.97,7538.52,7588.23
1999-05-25,7544.31,7553.35,7413.98,7417.03
1999-05-26,7361.84,7460.87,7348.88,7426.63
1999-05-27,7488.06,7510.42,7440.72,7469.01
1999-05-28,7463.29,7465.8,7377.06,7387.37
1999-05-29,7447.29,7483.93,7398.68,7419.7
1999-05-31,7438.97,7449.1,7310.52,7316.57
1999-06-01,7324.42,7397.62,7313.12,7397.62
1999-06-02,7426.06,7493.68,7426.06,7488.03
1999-06-03,7552.36,7604.51,7552.36,7572.91
1999-06-04,7613.15,7628.14,7576.98,7590.44
1999-06-05,7649.47,7684.85,7618.8,7639.3
1999-06-07,7693.25,7818.09,7688.84,7802.69
1999-06-08,7900.93,7940.38,7858.61,7892.13
1999-06-09,7928.24,7980.11,7900.89,7957.71
1999-06-10,7993.61,8058.18,7985.48,7996.76
1999-06-11,8008.96,8028.39,7937.77,7979.4
1999-06-14,8023.71,8039.64,7926.53,7973.58
1999-06-15,8091.81,8109.28,7940.9,7960.0
1999-06-16,7994.33,8059.02,7924.41,8059.02
1999-06-17,8155.44,8290.25,8155.44,8274.36
1999-06-21,8361.05,8483.95,8308.43,8413.48
1999-06-22,8482.38,8640.11,8446.0,8608.91
1999-06-23,8607.54,8661.39,8492.32,8492.32
1999-06-24,8497.9,8627.88,8433.74,8589.31
1999-06-25,8469.12,8497.6,8251.65,8265.96
1999-06-28,8281.7,8341.85,8240.35,8281.45
1999-06-29,8377.68,8514.27,8377.68,8514.27
1999-06-30,8544.26,8576.78,8444.59,8467.37
1999-07-02,8508.79,8642.62,8508.79,8572.09
1999-07-03,8655.11,8710.71,8538.14,8563.55
1999-07-05,8588.15,8668.15,8535.03,8593.35
1999-07-06,8631.25,8663.92,8446.19,8454.49
1999-07-07,8464.75,8500.61,8390.99,8470.07
1999-07-08,8533.87,8610.9,8525.43,8592.43
1999-07-09,8624.38,8663.06,8538.82,8550.27
1999-07-12,8582.89,8592.05,8455.14,8463.9
1999-07-13,8441.14,8441.14,8194.97,8204.5
1999-07-14,8162.72,8249.16,7792.54,7888.66
1999-07-15,7868.47,7964.99,7737.38,7918.04
1999-07-16,7987.26,8024.19,7402.53,7411.58
1999-07-17,7224.23,7368.5,7068.88,7366.23
1999-07-19,7364.88,7455.22,7192.99,7386.89
1999-07-20,7543.61,7826.49,7543.61,7806.85
1999-07-21,7704.24,7830.76,7640.32,7786.65
1999-07-22,7743.42,7798.94,7675.25,7678.67
1999-07-23,7634.82,7735.52,7619.41,7724.52
1999-07-26,7702.08,7730.6,7590.39,7595.71
1999-07-27,7520.79,7538.53,7329.74,7367.97
1999-07-28,7485.25,7533.87,7433.53,7484.5
1999-07-29,7513.08,7513.08,7343.58,7359.37
1999-07-30,7169.35,7420.84,7150.04,7413.11
1999-07-31,7397.48,7467.33,7321.96,7326.75
1999-08-02,7328.54,7355.15,7176.54,7195.94
1999-08-03,7114.65,7191.96,6968.54,7175.19
1999-08-04,7181.08,7274.66,7105.91,7110.8
1999-08-05,7038.54,7078.58,6941.65,6959.73
1999-08-06,6988.51,7031.8,6817.58,6823.52
1999-08-07,6820.95,7070.67,6771.75,7049.74
1999-08-09,7066.76,7110.82,7017.86,7028.01
