,ID,date,open,high,low,close,volume,count,capital,name,market,unauthorized
0,00625K,2021-08-05,--,--,--,--,0,0,0,富邦上証+R,exchange,abnormal_format
1,00643K,2021-08-05,--,--,--,--,0,0,0,群益深証中小+R,exchange,abnormal_format
2,00774C,2021-08-05,--,--,--,--,0,0,0,新光中政金綠債+R,exchange,abnormal_format
3,00832B,2021-08-05,----,----,----,----,0,0,0,新光美債20+,otc,abnormal_format
4,00869B,2021-08-05,----,----,----,----,0,0,0,FT10-25年公司債,otc,abnormal_format
5,020002,2021-08-05,--,--,--,--,0,0,0,元富新中國N,exchange,abnormal_format
6,020003,2021-08-05,----,----,----,----,0,0,0,統一漲升股利150N,otc,abnormal_format
7,020004,2021-08-05,--,--,--,--,0,0,0,兆豐電菁英30N,exchange,abnormal_format
8,020006,2021-08-05,--,--,--,--,0,0,0,永昌中小300N,exchange,abnormal_format
9,020007,2021-08-05,--,--,--,--,0,0,0,凱基臺灣500N,exchange,abnormal_format
10,020009,2021-08-05,----,----,----,----,0,0,0,群益A50綠碳N,otc,abnormal_format
11,020010,2021-08-05,----,----,----,----,0,0,0,永昌富櫃200N,otc,abnormal_format
12,020013,2021-08-05,----,----,----,----,0,0,0,元富亞洲高股息N,otc,abnormal_format
13,020015,2021-08-05,--,--,--,--,0,0,0,統一MSCI美低波N,exchange,abnormal_format
14,020016,2021-08-05,--,--,--,--,0,0,0,統一MSCI美科技N,exchange,abnormal_format
15,02001B,2021-08-05,----,----,----,----,0,0,0,統一美國政府債N,otc,abnormal_format
16,02001R,2021-08-05,--,--,--,--,0,0,0,富邦蘋果反一N,exchange,abnormal_format
17,020024,2021-08-05,----,----,----,----,0,0,0,兆豐富櫃200N,otc,abnormal_format
18,02003L,2021-08-05,----,----,----,----,0,0,0,永豐富櫃200正2N,otc,abnormal_format
19,1235,2021-08-05,--,--,--,--,3,1,102,興泰,exchange,abnormal_format
20,1796,2021-08-05,----,----,----,----,0,0,0,金穎生技,otc,abnormal_format
21,2424,2021-08-05,--,--,--,--,0,0,0,隴華,exchange,abnormal_format
22,2719,2021-08-05,----,----,----,----,0,0,0,燦星旅,otc,abnormal_format
23,2740,2021-08-05,----,----,----,----,0,0,0,天蔥,otc,abnormal_format
24,3629,2021-08-05,----,----,----,----,0,0,0,地心引力,otc,abnormal_format
25,4129A,2021-08-05,----,----,----,----,0,0,0,聯合甲特,otc,abnormal_format
26,4305,2021-08-05,----,----,----,----,0,0,0,世坤,otc,abnormal_format
27,4419,2021-08-05,----,----,----,----,0,0,0,元勝,otc,abnormal_format
28,4429,2021-08-05,----,----,----,----,0,0,0,聚紡,otc,abnormal_format
29,5205,2021-08-05,----,----,----,----,0,0,0,中茂,otc,abnormal_format
30,6442,2021-08-05,--,--,--,--,715,4,24772,光聖,exchange,abnormal_format
31,6752,2021-08-05,----,----,----,----,0,0,0,叡揚,otc,abnormal_format
32,8291,2021-08-05,----,----,----,----,0,0,0,尚茂,otc,abnormal_format
33,8349A,2021-08-05,----,----,----,----,0,0,0,恒耀甲特,otc,abnormal_format
34,8427,2021-08-05,--,--,--,--,0,0,0,基勝-KY,exchange,abnormal_format
35,8472,2021-08-05,----,----,----,----,0,0,0,夠麻吉,otc,abnormal_format
36,8923,2021-08-05,----,----,----,----,0,0,0,時報,otc,abnormal_format
37,912398,2021-08-05,--,--,--,--,0,0,0,友佳-DR,exchange,abnormal_format
38,9931,2021-08-05,--,--,--,--,503,6,20342,欣高,exchange,abnormal_format
