,ID,date,open,high,low,close,volume,count,capital,name,market,unauthorized
0,00625K,2021-07-15,--,--,--,--,0,0,0,富邦上証+R,exchange,abnormal_format
1,00643K,2021-07-15,--,--,--,--,0,0,0,群益深証中小+R,exchange,abnormal_format
2,00707R,2021-07-15,--,--,--,--,0,0,0,期元大S&P日圓反1,exchange,abnormal_format
3,00774C,2021-07-15,--,--,--,--,0,0,0,新光中政金綠債+R,exchange,abnormal_format
4,00869B,2021-07-15,----,----,----,----,0,0,0,FT10-25年公司債,otc,abnormal_format
5,020002,2021-07-15,--,--,--,--,0,0,0,元富新中國N,exchange,abnormal_format
6,020004,2021-07-15,--,--,--,--,0,0,0,兆豐電菁英30N,exchange,abnormal_format
7,020006,2021-07-15,--,--,--,--,0,0,0,永昌中小300N,exchange,abnormal_format
8,020007,2021-07-15,--,--,--,--,0,0,0,凱基臺灣500N,exchange,abnormal_format
9,020009,2021-07-15,----,----,----,----,0,0,0,群益A50綠碳N,otc,abnormal_format
10,020010,2021-07-15,----,----,----,----,0,0,0,永昌富櫃200N,otc,abnormal_format
11,020011,2021-07-15,--,--,--,--,0,0,0,統一微波高息20N,exchange,abnormal_format
12,020013,2021-07-15,----,----,----,----,0,0,0,元富亞洲高股息N,otc,abnormal_format
13,020015,2021-07-15,--,--,--,--,0,0,0,統一MSCI美低波N,exchange,abnormal_format
14,020016,2021-07-15,--,--,--,--,0,0,0,統一MSCI美科技N,exchange,abnormal_format
15,020024,2021-07-15,----,----,----,----,0,0,0,兆豐富櫃200N,otc,abnormal_format
16,02003L,2021-07-15,----,----,----,----,0,0,0,永豐富櫃200正2N,otc,abnormal_format
17,1101B,2021-07-15,--,--,--,--,0,0,0,台泥乙特,exchange,abnormal_format
18,1213,2021-07-15,--,--,--,--,6,1,51,大飲,exchange,abnormal_format
19,2724,2021-07-15,----,----,----,----,0,0,0,富驛-KY,otc,abnormal_format
20,3073,2021-07-15,----,----,----,----,0,0,0,天方能源,otc,abnormal_format
21,3115,2021-07-15,----,----,----,----,0,0,0,寶島極,otc,abnormal_format
22,3332,2021-07-15,----,----,----,----,0,0,0,幸康,otc,abnormal_format
23,3426,2021-07-15,----,----,----,----,0,0,0,台興,otc,abnormal_format
24,4419,2021-07-15,----,----,----,----,0,0,0,元勝,otc,abnormal_format
25,4429,2021-07-15,----,----,----,----,0,0,0,聚紡,otc,abnormal_format
26,5205,2021-07-15,----,----,----,----,0,0,0,中茂,otc,abnormal_format
27,5276,2021-07-15,----,----,----,----,0,0,0,達輝-KY,otc,abnormal_format
28,5432,2021-07-15,----,----,----,----,0,0,0,達威,otc,abnormal_format
29,5455,2021-07-15,----,----,----,----,0,0,0,昇益,otc,abnormal_format
30,6144,2021-07-15,----,----,----,----,0,0,0,得利影,otc,abnormal_format
31,6198,2021-07-15,----,----,----,----,0,0,0,凌泰,otc,abnormal_format
32,6404,2021-07-15,----,----,----,----,0,0,0,通訊-KY,otc,abnormal_format
33,6417,2021-07-15,----,----,----,----,0,0,0,韋僑,otc,abnormal_format
34,8455,2021-07-15,----,----,----,----,0,0,0,大拓-KY,otc,abnormal_format
35,8467,2021-07-15,--,--,--,--,0,0,0,波力-KY,exchange,abnormal_format
36,8906,2021-07-15,----,----,----,----,0,0,0,花王,otc,abnormal_format
37,8921,2021-07-15,----,----,----,----,0,0,0,沈氏,otc,abnormal_format
38,8923,2021-07-15,----,----,----,----,0,0,0,時報,otc,abnormal_format
39,9926,2021-07-15,--,--,--,--,76,2,3649,新海,exchange,abnormal_format
