,ID,date,open,high,low,close,volume,count,capital,name,market,unauthorized
0,00625K,2021-06-21,--,--,--,--,0,0,0,富邦上証+R,exchange,abnormal_format
1,00643K,2021-06-21,--,--,--,--,0,0,0,群益深証中小+R,exchange,abnormal_format
2,00684R,2021-06-21,--,--,--,--,0,0,0,期元大美元指反1,exchange,abnormal_format
3,00685L,2021-06-21,--,--,--,--,0,0,0,群益臺灣加權正2,exchange,abnormal_format
4,00707R,2021-06-21,--,--,--,--,0,0,0,期元大S&P日圓反1,exchange,abnormal_format
5,00774C,2021-06-21,--,--,--,--,0,0,0,新光中政金綠債+R,exchange,abnormal_format
6,00775B,2021-06-21,--,--,--,--,212,4,8960,新光投等債15+,exchange,abnormal_format
7,020001,2021-06-21,----,----,----,----,0,0,0,富邦存股雙十N,otc,abnormal_format
8,020002,2021-06-21,--,--,--,--,0,0,0,元富新中國N,exchange,abnormal_format
9,020004,2021-06-21,--,--,--,--,0,0,0,兆豐電菁英30N,exchange,abnormal_format
10,020006,2021-06-21,--,--,--,--,0,0,0,永昌中小300N,exchange,abnormal_format
11,020007,2021-06-21,--,--,--,--,0,0,0,凱基臺灣500N,exchange,abnormal_format
12,020009,2021-06-21,----,----,----,----,0,0,0,群益A50綠碳N,otc,abnormal_format
13,020010,2021-06-21,----,----,----,----,0,0,0,永昌富櫃200N,otc,abnormal_format
14,020015,2021-06-21,--,--,--,--,0,0,0,統一MSCI美低波N,exchange,abnormal_format
15,02001R,2021-06-21,--,--,--,--,0,0,0,富邦蘋果反一N,exchange,abnormal_format
16,02003L,2021-06-21,----,----,----,----,0,0,0,永豐富櫃200正2N,otc,abnormal_format
17,1101B,2021-06-21,--,--,--,--,318,5,16932,台泥乙特,exchange,abnormal_format
18,1538,2021-06-21,--,--,--,--,315,4,4017,正峰,exchange,abnormal_format
19,2424,2021-06-21,--,--,--,--,30,1,723,隴華,exchange,abnormal_format
20,2718,2021-06-21,----,----,----,----,0,0,0,晶悅,otc,abnormal_format
21,2724,2021-06-21,----,----,----,----,0,0,0,富驛-KY,otc,abnormal_format
22,3067,2021-06-21,----,----,----,----,0,0,0,全域,otc,abnormal_format
23,3555,2021-06-21,----,----,----,----,0,0,0,重鵬,otc,abnormal_format
24,4419,2021-06-21,----,----,----,----,0,0,0,元勝,otc,abnormal_format
25,4609,2021-06-21,----,----,----,----,0,0,0,唐鋒,otc,abnormal_format
26,5205,2021-06-21,----,----,----,----,0,0,0,中茂,otc,abnormal_format
27,6144,2021-06-21,----,----,----,----,0,0,0,得利影,otc,abnormal_format
28,6198,2021-06-21,----,----,----,----,0,0,0,凌泰,otc,abnormal_format
29,6236,2021-06-21,----,----,----,----,0,0,0,康呈,otc,abnormal_format
30,6241,2021-06-21,----,----,----,----,0,0,0,易通展,otc,abnormal_format
31,6624,2021-06-21,----,----,----,----,0,0,0,萬年清,otc,abnormal_format
32,8291,2021-06-21,----,----,----,----,0,0,0,尚茂,otc,abnormal_format
33,8467,2021-06-21,--,--,--,--,0,0,0,波力-KY,exchange,abnormal_format
34,8923,2021-06-21,----,----,----,----,0,0,0,時報,otc,abnormal_format
