,ID,date,open,high,low,close,volume,count,capital,name,market,unauthorized
0,00625K,2021-06-22,--,--,--,--,0,0,0,富邦上証+R,exchange,abnormal_format
1,00643K,2021-06-22,--,--,--,--,0,0,0,群益深証中小+R,exchange,abnormal_format
2,00774C,2021-06-22,--,--,--,--,0,0,0,新光中政金綠債+R,exchange,abnormal_format
3,020002,2021-06-22,--,--,--,--,0,0,0,元富新中國N,exchange,abnormal_format
4,020003,2021-06-22,----,----,----,----,0,0,0,統一漲升股利150N,otc,abnormal_format
5,020004,2021-06-22,--,--,--,--,0,0,0,兆豐電菁英30N,exchange,abnormal_format
6,020006,2021-06-22,--,--,--,--,0,0,0,永昌中小300N,exchange,abnormal_format
7,020007,2021-06-22,--,--,--,--,0,0,0,凱基臺灣500N,exchange,abnormal_format
8,020009,2021-06-22,----,----,----,----,0,0,0,群益A50綠碳N,otc,abnormal_format
9,020010,2021-06-22,----,----,----,----,0,0,0,永昌富櫃200N,otc,abnormal_format
10,020013,2021-06-22,----,----,----,----,0,0,0,元富亞洲高股息N,otc,abnormal_format
11,020014,2021-06-22,----,----,----,----,0,0,0,元大富櫃200N,otc,abnormal_format
12,02001B,2021-06-22,----,----,----,----,0,0,0,統一美國政府債N,otc,abnormal_format
13,02003L,2021-06-22,----,----,----,----,0,0,0,永豐富櫃200正2N,otc,abnormal_format
14,1213,2021-06-22,--,--,--,--,319,4,2833,大飲,exchange,abnormal_format
15,1312A,2021-06-22,--,--,--,--,0,0,0,國喬特,exchange,abnormal_format
16,1470,2021-06-22,--,--,--,--,0,0,0,大統新創,exchange,abnormal_format
17,2740,2021-06-22,----,----,----,----,0,0,0,天蔥,otc,abnormal_format
18,2891B,2021-06-22,--,--,--,--,480,8,30297,中信金乙特,exchange,abnormal_format
19,3064,2021-06-22,----,----,----,----,0,0,0,泰偉,otc,abnormal_format
20,3426,2021-06-22,----,----,----,----,0,0,0,台興,otc,abnormal_format
21,3531,2021-06-22,----,----,----,----,0,0,0,先益,otc,abnormal_format
22,3555,2021-06-22,----,----,----,----,0,0,0,重鵬,otc,abnormal_format
23,3629,2021-06-22,----,----,----,----,0,0,0,地心引力,otc,abnormal_format
24,3684,2021-06-22,----,----,----,----,0,0,0,榮昌,otc,abnormal_format
25,4304,2021-06-22,----,----,----,----,0,0,0,勝昱,otc,abnormal_format
26,4419,2021-06-22,----,----,----,----,0,0,0,元勝,otc,abnormal_format
27,4568,2021-06-22,----,----,----,----,0,0,0,科際精密,otc,abnormal_format
28,5205,2021-06-22,----,----,----,----,0,0,0,中茂,otc,abnormal_format
29,5212,2021-06-22,----,----,----,----,0,0,0,凌網,otc,abnormal_format
30,6103,2021-06-22,----,----,----,----,0,0,0,合邦,otc,abnormal_format
31,6144,2021-06-22,----,----,----,----,0,0,0,得利影,otc,abnormal_format
32,6198,2021-06-22,----,----,----,----,0,0,0,凌泰,otc,abnormal_format
33,6236,2021-06-22,----,----,----,----,0,0,0,康呈,otc,abnormal_format
34,6680,2021-06-22,----,----,----,----,0,0,0,鑫創電子,otc,abnormal_format
35,8067,2021-06-22,----,----,----,----,0,0,0,志旭,otc,abnormal_format
36,8291,2021-06-22,----,----,----,----,0,0,0,尚茂,otc,abnormal_format
37,8467,2021-06-22,--,--,--,--,0,0,0,波力-KY,exchange,abnormal_format
38,8923,2021-06-22,----,----,----,----,0,0,0,時報,otc,abnormal_format
39,8941,2021-06-22,----,----,----,----,0,0,0,關中,otc,abnormal_format
