,ID,date,open,high,low,close,volume,count,capital,name,market,unauthorized
0,00625K,2021-08-25,--,--,--,--,0,0,0,富邦上証+R,exchange,abnormal_format
1,00643K,2021-08-25,--,--,--,--,0,0,0,群益深証中小+R,exchange,abnormal_format
2,00661,2021-08-25,--,--,--,--,144,1,4979,元大日經225,exchange,abnormal_format
3,00684R,2021-08-25,--,--,--,--,0,0,0,期元大美元指反1,exchange,abnormal_format
4,00707R,2021-08-25,--,--,--,--,0,0,0,期元大S&P日圓反1,exchange,abnormal_format
5,00759B,2021-08-25,----,----,----,----,0,0,0,FH製藥債,otc,abnormal_format
6,00774C,2021-08-25,--,--,--,--,0,0,0,新光中政金綠債+R,exchange,abnormal_format
7,00832B,2021-08-25,----,----,----,----,0,0,0,新光美債20+,otc,abnormal_format
8,00845B,2021-08-25,----,----,----,----,0,0,0,富邦新興投等債,otc,abnormal_format
9,00846B,2021-08-25,----,----,----,----,0,0,0,富邦歐洲銀行債,otc,abnormal_format
10,020003,2021-08-25,----,----,----,----,0,0,0,統一漲升股利150N,otc,abnormal_format
11,020004,2021-08-25,--,--,--,--,0,0,0,兆豐電菁英30N,exchange,abnormal_format
12,020006,2021-08-25,--,--,--,--,0,0,0,永昌中小300N,exchange,abnormal_format
13,020007,2021-08-25,--,--,--,--,0,0,0,凱基臺灣500N,exchange,abnormal_format
14,020009,2021-08-25,----,----,----,----,0,0,0,群益A50綠碳N,otc,abnormal_format
15,020010,2021-08-25,----,----,----,----,0,0,0,永昌富櫃200N,otc,abnormal_format
16,020011,2021-08-25,--,--,--,--,0,0,0,統一微波高息20N,exchange,abnormal_format
17,020013,2021-08-25,----,----,----,----,0,0,0,元富亞洲高股息N,otc,abnormal_format
18,02001B,2021-08-25,----,----,----,----,0,0,0,統一美國政府債N,otc,abnormal_format
19,02001R,2021-08-25,--,--,--,--,0,0,0,富邦蘋果反一N,exchange,abnormal_format
20,02003L,2021-08-25,----,----,----,----,0,0,0,永豐富櫃200正2N,otc,abnormal_format
21,2924,2021-08-25,----,----,----,----,0,0,0,東凌-KY,otc,abnormal_format
22,3064,2021-08-25,----,----,----,----,0,0,0,泰偉,otc,abnormal_format
23,3629,2021-08-25,----,----,----,----,0,0,0,地心引力,otc,abnormal_format
24,4305,2021-08-25,----,----,----,----,0,0,0,世坤,otc,abnormal_format
25,4419,2021-08-25,----,----,----,----,0,0,0,元勝,otc,abnormal_format
26,4543,2021-08-25,----,----,----,----,0,0,0,萬在,otc,abnormal_format
27,4747,2021-08-25,----,----,----,----,0,0,0,強生,otc,abnormal_format
28,4767,2021-08-25,----,----,----,----,0,0,0,誠泰科技,otc,abnormal_format
29,5205,2021-08-25,----,----,----,----,0,0,0,中茂,otc,abnormal_format
30,5276,2021-08-25,----,----,----,----,0,0,0,達輝-KY,otc,abnormal_format
31,5455,2021-08-25,----,----,----,----,0,0,0,昇益,otc,abnormal_format
32,6225,2021-08-25,--,--,--,--,150,1,1095,天瀚,exchange,abnormal_format
33,6417,2021-08-25,----,----,----,----,0,0,0,韋僑,otc,abnormal_format
34,6482,2021-08-25,----,----,----,----,0,0,0,弘煜科,otc,abnormal_format
35,6574,2021-08-25,----,----,----,----,0,0,0,霈方,otc,abnormal_format
36,6680,2021-08-25,----,----,----,----,0,0,0,鑫創電子,otc,abnormal_format
37,6752,2021-08-25,----,----,----,----,0,0,0,叡揚,otc,abnormal_format
38,8291,2021-08-25,----,----,----,----,0,0,0,尚茂,otc,abnormal_format
39,8472,2021-08-25,----,----,----,----,0,0,0,夠麻吉,otc,abnormal_format
40,8906,2021-08-25,----,----,----,----,0,0,0,花王,otc,abnormal_format
41,8921,2021-08-25,----,----,----,----,0,0,0,沈氏,otc,abnormal_format
42,9931,2021-08-25,--,--,--,--,99,4,3831,欣高,exchange,abnormal_format
