date,open,high,low,close,volume,count,capital,ID,name,market
2016-09-13,35.0,37.8,35.0,36.95,2960000,1960,108009450,6486,互動,otc
2016-09-14,37.0,37.5,35.7,35.95,1609000,893,58901800,6486,互動,otc
2016-09-19,36.35,36.7,35.5,35.95,861000,560,31070650,6486,互動,otc
2016-09-20,36.0,36.8,35.95,36.55,626000,429,22767950,6486,互動,otc
2016-09-21,36.3,36.4,36.0,36.0,418000,248,15104100,6486,互動,otc
2016-09-22,36.5,39.6,36.1,39.6,1606000,838,61954750,6486,互動,otc
2016-09-23,40.9,43.5,40.3,41.4,2290000,1439,95468000,6486,互動,otc
2016-09-26,41.0,41.0,39.2,39.8,885000,615,35194700,6486,互動,otc
2016-09-29,39.8,40.0,37.95,38.5,776000,495,30059350,6486,互動,otc
2016-09-30,38.0,42.35,38.0,42.35,1493000,904,60958450,6486,互動,otc
2016-10-03,41.6,41.8,40.55,40.7,1131000,750,46353700,6486,互動,otc
2016-10-04,40.4,41.9,40.2,41.1,591000,429,24368900,6486,互動,otc
2016-10-05,40.95,41.3,39.65,39.8,505000,380,20313750,6486,互動,otc
2016-10-06,40.0,40.45,39.7,40.2,279000,191,11186600,6486,互動,otc
2016-10-07,40.3,40.6,39.1,39.1,402000,271,15929700,6486,互動,otc
2016-10-11,40.5,40.8,39.1,39.4,466000,343,18516400,6486,互動,otc
2016-10-12,39.0,39.5,38.3,39.2,289000,212,11253950,6486,互動,otc
2016-10-13,39.2,39.4,38.8,38.8,166000,114,6457450,6486,互動,otc
2016-10-14,38.6,39.45,38.0,38.05,328000,172,12592850,6486,互動,otc
2016-10-17,38.15,38.7,38.15,38.45,132000,78,5062050,6486,互動,otc
2016-10-18,38.45,38.5,38.1,38.2,104000,81,3970600,6486,互動,otc
2016-10-19,38.3,39.75,38.3,39.2,279000,200,10922500,6486,互動,otc
2016-10-20,39.0,39.4,38.4,38.45,166000,116,6424850,6486,互動,otc
2016-10-21,38.3,39.55,38.25,39.2,173000,135,6717250,6486,互動,otc
2016-10-24,39.15,39.2,38.3,38.35,208000,149,8042100,6486,互動,otc
2016-10-25,38.5,38.9,38.35,38.35,132000,97,5086850,6486,互動,otc
2016-10-26,38.15,38.5,38.15,38.3,90000,69,3449900,6486,互動,otc
2016-10-27,38.3,38.3,37.5,37.6,283000,170,10714800,6486,互動,otc
2016-10-28,37.6,38.9,37.5,37.9,211000,184,8073000,6486,互動,otc
2016-10-31,38.0,38.2,37.4,37.6,120000,72,4506300,6486,互動,otc
2016-11-01,37.85,37.85,37.3,37.4,76000,55,2846400,6486,互動,otc
2016-11-02,37.35,37.35,36.2,36.4,295000,155,10778600,6486,互動,otc
2016-11-03,36.4,36.4,35.8,35.9,141000,79,5059200,6486,互動,otc
2016-11-04,35.9,36.85,35.9,36.55,61000,55,2223250,6486,互動,otc
2016-11-07,36.8,37.6,36.8,37.15,61000,51,2262700,6486,互動,otc
2016-11-08,36.8,37.0,36.15,36.15,110000,86,3996250,6486,互動,otc
2016-11-09,36.2,36.4,34.8,35.0,268000,156,9472250,6486,互動,otc
2016-11-10,35.4,36.2,35.4,35.6,105000,69,3762100,6486,互動,otc
2016-11-11,35.6,36.1,34.8,34.8,114000,92,4017150,6486,互動,otc
2016-11-14,34.85,35.5,34.85,35.3,98000,74,3444700,6486,互動,otc
2016-11-15,35.3,35.95,35.3,35.3,78000,45,2773200,6486,互動,otc
2016-11-16,35.45,35.9,35.45,35.55,51000,43,1815150,6486,互動,otc
2016-11-17,35.8,35.8,35.4,35.5,54000,28,1918550,6486,互動,otc
2016-11-18,35.8,36.3,35.5,35.5,95000,66,3389200,6486,互動,otc
2016-11-21,35.4,35.8,35.4,35.65,45000,35,1605350,6486,互動,otc
2016-11-22,35.95,36.35,35.7,36.0,116000,73,4173100,6486,互動,otc
2016-11-23,36.4,36.4,35.9,36.0,98000,66,3541700,6486,互動,otc
2016-11-24,36.35,36.35,35.95,36.0,57000,44,2057100,6486,互動,otc
2016-11-25,36.15,36.15,35.8,35.9,38000,32,1365550,6486,互動,otc
2016-11-28,35.85,38.0,35.85,36.95,176000,118,6464300,6486,互動,otc
2016-11-29,36.95,37.6,36.5,37.6,122000,85,4488800,6486,互動,otc
2016-11-30,37.6,38.0,37.3,37.6,122000,86,4591350,6486,互動,otc
2016-12-01,37.6,37.6,37.05,37.05,73000,61,2715700,6486,互動,otc
2016-12-02,36.85,37.4,36.75,36.75,25000,21,922900,6486,互動,otc
2016-12-05,37.6,37.6,36.7,37.3,35000,31,1297300,6486,互動,otc
2016-12-06,37.05,37.3,36.8,36.9,80000,58,2962450,6486,互動,otc
2016-12-07,37.3,37.3,36.65,36.85,123000,100,4529750,6486,互動,otc
2016-12-08,37.15,37.3,36.8,37.3,117000,72,4329600,6486,互動,otc
2016-12-09,37.3,37.5,37.0,37.5,85000,70,3164350,6486,互動,otc
2016-12-12,37.9,38.0,37.25,37.75,266000,178,10027300,6486,互動,otc
2016-12-13,37.5,37.95,37.15,37.95,232000,150,8664750,6486,互動,otc
2016-12-14,37.9,38.0,37.55,38.0,191000,129,7219500,6486,互動,otc
2016-12-15,37.95,38.5,37.85,38.25,165000,118,6287050,6486,互動,otc
2016-12-16,38.2,39.0,38.2,38.3,208000,145,8027950,6486,互動,otc
2016-12-19,38.2,38.2,37.4,37.5,108000,73,4082650,6486,互動,otc
2016-12-20,38.0,38.35,37.5,37.55,78000,53,2936550,6486,互動,otc
2016-12-21,37.85,38.5,37.6,37.6,74000,56,2805850,6486,互動,otc
2016-12-22,37.9,37.9,37.2,37.5,57000,43,2129400,6486,互動,otc
2016-12-23,37.4,37.4,36.95,37.0,61000,46,2265850,6486,互動,otc
2016-12-26,37.0,37.0,36.55,36.75,76000,62,2790950,6486,互動,otc
2016-12-27,37.0,37.7,36.8,37.6,92000,69,3440950,6486,互動,otc
2016-12-28,37.95,37.95,37.35,37.9,95000,60,3573150,6486,互動,otc
2016-12-29,37.6,37.75,37.35,37.75,20000,17,753150,6486,互動,otc
2016-12-30,37.55,37.7,37.5,37.5,17000,16,638000,6486,互動,otc
2017-01-03,37.3,37.5,37.25,37.5,42000,37,1569850,6486,互動,otc
2017-01-04,37.7,37.7,37.3,37.7,47000,28,1763900,6486,互動,otc
2017-01-05,37.9,38.3,37.55,37.7,79000,55,2976500,6486,互動,otc
2017-01-06,37.5,37.7,37.45,37.6,86000,66,3224800,6486,互動,otc
2017-01-09,34.8,36.0,34.8,35.45,331000,201,11701900,6486,互動,otc
2017-01-10,35.45,35.45,34.85,34.9,197000,131,6893800,6486,互動,otc
2017-01-11,35.0,35.3,34.9,35.25,48000,34,1685450,6486,互動,otc
2017-01-12,35.05,35.2,35.0,35.2,79000,43,2766750,6486,互動,otc
2017-01-13,35.05,35.25,35.0,35.2,13000,9,456400,6486,互動,otc
2017-01-16,35.0,35.05,34.9,35.0,51000,37,1784200,6486,互動,otc
2017-01-17,35.0,35.3,34.95,35.3,39000,21,1367050,6486,互動,otc
2017-01-18,35.1,35.5,35.05,35.2,34000,29,1196450,6486,互動,otc
2017-01-19,35.25,35.25,35.05,35.2,43000,13,1510100,6486,互動,otc
2017-01-20,35.1,35.3,34.9,35.0,37000,25,1297100,6486,互動,otc
2017-01-23,35.1,35.7,34.9,35.7,56000,45,1979600,6486,互動,otc
2017-01-24,35.8,35.8,35.25,35.65,10000,10,356250,6486,互動,otc
2017-02-02,35.2,35.5,35.15,35.5,27000,20,951050,6486,互動,otc
2017-02-03,35.5,35.5,35.2,35.4,30000,26,1062950,6486,互動,otc
2017-02-06,35.9,36.6,35.4,36.0,69000,42,2478800,6486,互動,otc
2017-02-07,36.2,36.2,35.85,35.85,31000,22,1113900,6486,互動,otc
2017-02-08,35.9,35.9,35.75,35.9,45000,28,1610950,6486,互動,otc
2017-02-09,35.9,36.3,35.7,36.0,47000,30,1693050,6486,互動,otc
2017-02-10,36.0,36.1,35.75,35.9,54000,48,1938350,6486,互動,otc
2017-02-13,35.0,35.0,34.5,34.65,225000,151,7799250,6486,互動,otc
2017-02-14,34.65,34.7,34.4,34.45,92000,61,3175850,6486,互動,otc
2017-02-15,34.5,34.75,34.3,34.75,50000,34,1723600,6486,互動,otc
2017-02-16,34.75,34.75,34.0,34.0,162000,84,5530200,6486,互動,otc
2017-02-17,33.9,36.25,33.8,35.4,98000,82,3395750,6486,互動,otc
2017-02-18,35.4,36.0,35.0,35.75,137000,85,4848250,6486,互動,otc
2017-02-20,35.6,35.6,35.1,35.3,80000,66,2827950,6486,互動,otc
2017-02-21,35.1,35.15,34.8,35.0,53000,34,1853950,6486,互動,otc
2017-02-22,35.0,35.0,34.85,34.85,27000,19,942200,6486,互動,otc
2017-02-23,34.8,35.2,34.7,35.0,38000,28,1325350,6486,互動,otc
2017-02-24,35.0,35.4,35.0,35.35,108000,54,3791750,6486,互動,otc
2017-03-01,35.45,35.5,35.1,35.45,58000,33,2052800,6486,互動,otc
2017-03-02,35.4,35.4,34.95,35.1,75000,38,2627050,6486,互動,otc
2017-03-03,35.1,35.1,34.95,34.95,6000,6,210250,6486,互動,otc
2017-03-06,34.95,34.95,34.6,34.9,15000,13,522700,6486,互動,otc
2017-03-07,35.3,35.6,35.05,35.05,25000,19,883700,6486,互動,otc
2017-03-08,34.9,35.35,34.8,35.2,90000,51,3146800,6486,互動,otc
2017-03-09,35.3,35.3,34.6,34.75,24000,17,834500,6486,互動,otc
2017-03-10,35.55,37.55,35.5,37.55,465000,374,16903550,6486,互動,otc
2017-03-13,40.65,41.3,39.0,41.3,2595000,1087,104462050,6486,互動,otc
2017-03-14,42.8,45.4,42.65,45.4,3219000,1534,142845650,6486,互動,otc
2017-03-15,44.0,49.9,43.8,47.4,2704000,1607,124329400,6486,互動,otc
2017-03-16,45.8,47.3,44.0,45.2,1829000,1116,82491200,6486,互動,otc
2017-03-17,46.35,46.35,44.6,45.2,1273000,766,57512450,6486,互動,otc
2017-03-20,46.0,46.2,44.6,45.0,1237000,780,55944200,6486,互動,otc
2017-03-21,45.0,47.35,44.8,47.35,2824000,1741,130170450,6486,互動,otc
2017-03-22,47.6,51.9,45.75,50.9,5761000,3419,281942000,6486,互動,otc
2017-03-23,52.1,52.8,50.5,51.8,4161000,2608,215237400,6486,互動,otc
2017-03-24,51.5,55.5,50.9,53.5,3407000,1946,179900800,6486,互動,otc
2017-03-27,53.5,53.5,48.55,50.8,2962000,1758,151820300,6486,互動,otc
2017-03-28,50.7,53.0,49.25,52.6,1691000,1193,86628900,6486,互動,otc
2017-03-29,53.2,54.2,50.9,51.3,2772000,1810,144833300,6486,互動,otc
2017-03-30,51.4,53.5,50.4,52.7,3021000,2048,156616100,6486,互動,otc
2017-03-31,53.0,54.0,51.2,51.5,3181000,1889,167751900,6486,互動,otc
2017-04-05,51.6,52.7,50.7,52.7,1456000,1067,75451400,6486,互動,otc
2017-04-06,52.6,57.9,51.9,57.5,10143000,5552,572900100,6486,互動,otc
2017-04-07,59.5,63.2,59.5,63.2,12252000,7112,754247900,6486,互動,otc
2017-04-10,66.6,69.5,66.1,69.5,10066000,5712,686555000,6486,互動,otc
2017-04-11,70.5,75.5,68.2,68.2,12230000,8829,882954300,6486,互動,otc
2017-04-12,69.9,73.0,68.7,72.0,8415000,5796,596963000,6486,互動,otc
2017-04-13,73.7,74.9,68.2,70.2,6901000,4993,491732000,6486,互動,otc
2017-04-14,70.0,70.7,63.2,63.3,6814000,4416,452705500,6486,互動,otc
2017-04-17,65.5,69.6,64.3,69.6,7201000,4942,484174100,6486,互動,otc
2017-04-18,69.6,69.8,65.9,67.4,6360000,4494,431372000,6486,互動,otc
2017-04-19,64.5,67.0,62.3,62.5,4239000,3073,274206500,6486,互動,otc
2017-04-20,63.2,64.7,57.9,58.9,5438000,3784,333849500,6486,互動,otc
2017-04-21,61.3,64.7,59.6,64.7,5487000,3539,344371800,6486,互動,otc
2017-04-24,64.5,64.5,59.4,59.8,5638000,3965,348813600,6486,互動,otc
2017-04-25,61.3,62.0,59.0,59.8,3848000,2794,233247400,6486,互動,otc
2017-04-26,60.1,65.5,60.1,64.0,6155000,4513,387415100,6486,互動,otc
2017-04-27,66.0,68.8,64.7,64.7,10490000,7295,703298400,6486,互動,otc
2017-04-28,65.4,67.0,65.1,66.7,3526000,2585,233079800,6486,互動,otc
2017-05-02,68.2,69.2,64.6,65.0,4102000,2999,276059900,6486,互動,otc
2017-05-03,65.7,68.0,64.2,64.7,3884000,2934,257076400,6486,互動,otc
2017-05-04,65.5,68.8,65.1,68.5,4718000,3260,316576800,6486,互動,otc
2017-05-05,67.9,68.1,65.4,65.7,3349000,2373,223065000,6486,互動,otc
2017-05-08,66.9,67.0,65.0,65.5,1680000,1253,110767900,6486,互動,otc
2017-05-09,65.6,66.7,60.1,60.5,4034000,2876,251012000,6486,互動,otc
2017-05-10,57.8,60.9,57.5,59.5,4494000,3207,264887700,6486,互動,otc
2017-05-11,59.5,61.0,57.0,57.0,3260000,2255,191865900,6486,互動,otc
2017-05-12,56.5,57.8,54.2,57.0,3986000,2853,223281000,6486,互動,otc
2017-05-15,57.0,57.5,56.0,56.3,1348000,988,76188800,6486,互動,otc
2017-05-16,57.0,58.5,56.3,56.5,1533000,1171,87894900,6486,互動,otc
2017-05-17,57.0,57.5,56.2,57.2,1038000,809,59060400,6486,互動,otc
2017-05-18,56.0,56.7,55.6,56.2,614000,473,34543600,6486,互動,otc
2017-05-19,56.8,60.4,56.6,58.2,4505000,3336,266260900,6486,互動,otc
2017-05-22,59.1,59.3,58.2,58.3,1021000,801,59953300,6486,互動,otc
2017-05-23,58.7,60.5,57.5,58.5,2023000,1529,119545100,6486,互動,otc
2017-05-24,60.9,63.5,59.8,59.8,5612000,3817,344394800,6486,互動,otc
2017-05-25,59.6,60.3,58.7,58.8,1281000,966,76059700,6486,互動,otc
2017-05-26,59.4,59.4,57.9,58.0,703000,572,41100400,6486,互動,otc
2017-05-31,58.5,58.5,56.9,57.1,570000,443,32716800,6486,互動,otc
2017-06-01,57.2,58.4,57.2,58.1,511000,414,29602200,6486,互動,otc
2017-06-02,58.7,59.9,58.3,58.3,1200000,929,70814300,6486,互動,otc
2017-06-03,58.9,60.5,58.8,59.5,2429000,1764,145274400,6486,互動,otc
2017-06-05,59.6,59.9,58.9,58.9,733000,560,43431900,6486,互動,otc
2017-06-06,59.0,59.4,58.6,58.7,499000,407,29374100,6486,互動,otc
2017-06-07,58.7,59.6,57.8,58.5,898000,701,52953300,6486,互動,otc
2017-06-08,59.0,59.5,58.4,58.5,769000,570,45216600,6486,互動,otc
2017-06-09,59.0,59.3,57.2,57.7,668000,528,38924400,6486,互動,otc
2017-06-12,57.5,57.5,56.3,56.5,745000,523,42255100,6486,互動,otc
2017-06-13,56.5,57.1,56.0,56.0,488000,342,27566300,6486,互動,otc
2017-06-14,56.1,56.5,52.5,52.5,1624000,1176,86973100,6486,互動,otc
2017-06-15,53.1,53.8,52.6,53.4,755000,555,40213800,6486,互動,otc
